Designator,Mid X,Mid Y,Rotation,Layer
_27,117.395367,-125.715704,5.0,top
_26,137.941543,-154.032741,5.0,top
_25,156.831762,-97.422081,0.0,top
_24,156.831761,-148.422081,0.0,top
_23,192.831761,-148.422078,0.0,top
_22,226.615582,-188.912121,325.0,top
_21,118.877014,-142.651014,5.0,top
_20,115.91372,-108.780395,5.0,top
_19,192.831761,-97.42208,0.0,top
_18,174.831762,-127.422081,0.0,top
_17,207.674259,-178.168974,340.0,top
_16,210.83176,-152.422081,0.0,top
_15,187.963518,-172.346118,350.0,top
_14,156.83176,-131.42208,0.0,top
_13,210.831762,-135.422082,0.0,top
_12,133.496601,-103.226813,5.0,top
_11,192.831762,-114.42208,0.0,top
_10,174.831761,-110.42208,0.0,top
_9,210.831761,-118.422082,0.0,top
_8,156.83176,-114.422079,0.0,top
_7,192.831762,-131.42208,0.0,top
_6,210.831763,-101.42208,0.0,top
_5,136.459896,-137.097431,5.0,top
_4,174.831763,-144.42208,0.0,top
_3,134.978249,-120.162122,5.0,top
_2,174.831761,-93.42208,0.0,top
,120.358663,-159.586322,5.0,top
